Title, Year
"The Life of Emile Zola", 1937
"Broadway Melody of 1936", 1936
"The Great Dictator", 1940
"Sounder", 1972
"Seven Brides for Seven Brothers", 1954
"12 Angry Men", 1957
"In the Heat of the Night", 1967
"All About Eve", 1950
"Singin' in the Rain", 1952
"A Star Is Born", 1937
"The Goodbye Girl", 1977
"Morning Glory", 1933
"Smilin' Through", 1932
"Four Daughters", 1938
"All This, and Heaven Too", 1940
"A Passage to India", 1984
"Tom Jones", 1963
"Oliver!", 1968
"Mr. Holland's Opus", 1995
"The Miracle Worker", 1962
"The Paper Chase", 1973
"Goodbye, Mr. Chips", 1939
"Rachel, Rachel", 1968
"The Merry Widow", 1934
"Pride and Prejudice", 1940
"Little Women", 1949
"Young Bess", 1953
"Kismet", 1944
"Brigadoon", 1954
"Annie Get Your Gun", 1950
"The Sting", 1973
"Bonnie and Clyde", 1967
"Double Indemnity", 1944
"The Asphalt Jungle", 1950
"Algiers", 1938
"In Which We Serve", 1942
"Foreign Correspondent", 1940
"The North Star", 1943
"The Bachelor and the Bobby-Soxer", 1947
"Designing Woman", 1957
"Adam's Rib", 1949
"The Band Wagon", 1953
"Harvey", 1950
"Auntie Mame", 1958
"Mr. Deeds Goes to Town", 1936
"Being There", 1979
"Travels with My Aunt", 1972
"The Doorway to Hell", 1930
"One Way Passage", 1932
"Manhattan Melodrama", 1934
"Action in the North Atlantic", 1943
"The Stratton Story", 1949
"Love Me or Leave Me", 1955
"The Brave One", 1956
"Mrs. Brown", 1997
"The Lion in Winter", 1968
"The Madness of King George", 1994
"Marie Antoinette", 1938
"The Private Life of Henry VIII", 1933
"The Great Waltz", 1938
"Strangers on a Train", 1951
"The Bad and the Beautiful", 1952
"Gypsy", 1962
"Million Dollar Mermaid", 1952
"She Wore a Yellow Ribbon", 1949
"Mutiny on the Bounty", 1935
"Captains Courageous", 1937
"Ship of Fools", 1965
"The Unsinkable Molly Brown", 1964
"The Old Man and the Sea", 1958
"Blues in the Night", 1941
"Gold Diggers of 1935", 1935
"Born to Dance", 1936
"Cabin in the Sky", 1943
"Strike Up the Band", 1940
"The Harvey Girls", 1946
"Calamity Jane", 1953
"The Three Faces of Eve", 1957
"Love Story", 1970
"Amour", 2012
"Interrupted Melody", 1955
"Camille", 1937
"Flirtation Walk", 1934
"Here Comes the Navy", 1934
"Captain Blood", 1935
"Cimarron", 1931
"How the West Was Won", 1962
"All Quiet on the Western Front", 1930
"Places in the Heart", 1984
"Three Billboards Outside Ebbing, Missouri", 2017
"Imitation of Life", 1959
"Mildred Pierce", 1945
"Mrs. Miniver", 1942
"One Foot in Heaven", 1941
"The Good Earth", 1937
