Title, Year
"These Glamour Girls", 1939
"Dancing Co-Ed", 1939
"Honky Tonk", 1941
"Green Dolphin Street", 1947
"The Three Musketeers", 1948
"A Life of Her Own", 1950
"The Postman Always Rings Twice", 1946
"Imitation of Life", 1959
"The Bad and the Beautiful", 1952
"Portrait in Black", 1960
"Johnny Eager", 1942
"Mr. Imperium", 1951
"Stage Struck", 1958
"Wind Across the Everglades", 1958
"The Spiral Staircase", 1975
"International Velvet", 1979
"Inside Daisy Clover", 1965
"Aces High", 1976
"The Return of the Pink Panther", 1975
"The Sound of Music", 1965
"The Last Station", 2009
"The Man Who Would Be King", 1975
"Triple Cross", 1966
"The Unforgiven", 1960
"Green Mansions", 1959
"The Children's Hour", 1961
"Sabrina", 1954
"Charade", 1963
"Two for the Road", 1967
"Wait Until Dark", 1967
"Breakfast at Tiffany's", 1961
"How to Steal a Million", 1966
"My Fair Lady", 1964
"Love in the Afternoon", 1957
"Ride, Vaquero!", 1953
"Callaway Went Thataway", 1951
"Texas Carnival", 1951
"Pagan Love Song", 1950
"Fast Company", 1953
"Lovely to Look At", 1952
"Kiss Me Kate", 1953
"Annie Get Your Gun", 1950
"Seven Brides for Seven Brothers", 1954
"Show Boat", 1951
"Calamity Jane", 1953
"Rose Marie", 1954
"Jupiter's Darling", 1955
"Stolen Holiday", 1937
"Four Daughters", 1938
"Caesar and Cleopatra", 1945
"The Unsuspected", 1947
"Passage to Marseille", 1944
"Mr. Skeffington", 1945
"Now, Voyager", 1942
"Notorious", 1946
"Casablanca", 1942
"Mr. Smith Goes to Washington", 1939
"They Won't Forget", 1937
"The Passionate Friends", 1949
"Little Nellie Kelly", 1940
"Life Begins for Andy Hardy", 1941
"For Me and My Gal", 1942
"Presenting Lily Mars", 1943
"Girl Crazy", 1943
"In the Good Old Summertime", 1949
"Summer Stock", 1950
"A Star Is Born", 1954
"I Could Go on Singing", 1963
"The Clock", 1945
"The Harvey Girls", 1946
"Listen, Darling", 1938
"The Tall Target", 1951
"Edge of the City", 1957
"Take a Giant Step", 1959
"Black Girl", 1972
"The Sheriff", 1971
"Buck and the Preacher", 1972
"Long Day's Journey Into Night", 1982
"A Raisin in the Sun", 1961
"Uptight", 1968
"The Incident", 1967
"The Court-Martial of Jackie Robinson", 1990
"The Jackie Robinson Story", 1950
"Shoot-Out at Medicine Bend", 1957
"Mister Buddwing", 1966
"Cash McCall", 1960
"Boys' Night Out", 1962
"The Wheeler Dealers", 1963
"The Americanization of Emily", 1964
"Grand Prix", 1966
"Support Your Local Sheriff!", 1969
"Support Your Local Gunfighter", 1971
"36 Hours", 1964
"They Only Kill Their Masters", 1972
"Skin Game", 1971
"National Velvet", 1944
"A Date with Judy", 1948
"The Girl Who Had Everything", 1953
"Father's Little Dividend", 1951
"Ivanhoe", 1952
"Cat on a Hot Tin Roof", 1958
"Raintree County", 1957
"The Taming of the Shrew", 1967
"The V.I.P.s", 1963
"The Sandpiper", 1965
"The Comedians", 1967
"Forsaking All Others", 1934
"China Seas", 1935
"Mutiny on the Bounty", 1935
"It Happened One Night", 1934
"Wife vs. Secretary", 1936
"They Met in Bombay", 1941
"Mogambo", 1953
"Teacher's Pet", 1958
"The Misfits", 1961
"Lone Star", 1952
"Betrayed", 1954
"Never Let Me Go", 1953
"Little Caesar", 1930
"We're in the Money", 1935
"Here Comes Carter", 1936
"Dance Charlie Dance", 1937
"Smart Blonde", 1936
"Fly Away Baby", 1937
"The Adventurous Blonde", 1937
"Blondes at Work", 1938
"Torchy Gets Her Man", 1938
"Torchy Blane in Chinatown", 1939
"Torchy Runs for Mayor", 1939
"Girl Missing", 1933
"Hi, Nellie!", 1934
"I Am a Fugitive from a Chain Gang", 1932
"Gold Diggers of 1937", 1936
"Go into Your Dance", 1935
"The Match King", 1932
"The Big Boodle", 1957
"Fort Apache", 1948
"The Conqueror", 1956
"The Wonderful Country", 1959
"Diane", 1956
"Captain Sindbad", 1963
"The Rebellion of the Hanged", 1954
"Soledad's Shawl", 1952
"3 Godfathers", 1949
"My Son, the Hero", 1962
"The Fugitive", 1947
"Tulsa", 1949
"The Yellow Rolls-Royce", 1964
"Two Loves", 1961
"The Sheepman", 1958
"Being There", 1979
