Title, Year
"Chinatown", 1974
"The Strip", 1951
"The Spanish Main", 1945
"The Crimson Pirate", 1952
"Honky Tonk", 1941
"Marriage Is a Private Affair", 1944
"The Strip", 1951
"Love in the Afternoon", 1957
"Susan Slade", 1961
"Calamity Jane", 1953
"Queen Bee", 1955
"Autumn Leaves", 1956
"Johanna Enlists", 1918
"Torchy Blane in Panama", 1938
"The Trouble with Girls", 1969
"Easter Parade", 1948
"Yankee Doodle Dandy", 1942
"Billy Rose's Jumbo", 1962
"The Music Man", 1962
"Dog Day Afternoon", 1975
"Ma Vie En Rose", 1997
"Dressed in Blue", 1983
"Calling Dr. Kildare", 1939
"Guilty Hands", 1931
"Grand Hotel", 1932
"Rasputin and the Empress", 1932
"A Yank at Oxford", 1938
"Treasure Island", 1934
"Arsene Lupin", 1932
"Dinner at Eight", 1933
"Pillow Talk", 1959
"Lover Come Back", 1961
"Send Me No Flowers", 1964
"Pretty Maids All In A Row", 1971
"What Price Hollywood?", 1932
"Camille", 1937
"Little Women", 1933
"The Women", 1939
"The Philadelphia Story", 1940
"Her Cardboard Lover", 1942
"A Woman's Face", 1941
"The China Syndrome", 1979
"All the President's Men", 1976
"Winter Kills", 1979
"Rollover", 1981
"The Wonderful World of the Brothers Grimm", 1962
"The Secret Garden", 1949
"The 5,000 Fingers of Dr. T.", 1953
"The Absent-Minded Professor", 1961
"Doctor Dolittle", 1967
"Chitty Chitty Bang Bang", 1968
"Little Miss Broadway", 1938
"Top Hat", 1935
"Show Boat", 1951
"Kiss Me Kate", 1953
"Lovely to Look At", 1952
"Goldie Gets Along", 1933
"Born to Be Bad", 1950
"Torch Song", 1953
"A Stolen Life", 1946
"Mildred Pierce", 1945
"Gone with the Wind", 1939
"Sweet Rosie O'Grady", 1943
"Three Little Words", 1950
"42nd Street", 1933
"Gold Diggers of 1933", 1933
"Million Dollar Mermaid", 1952
"Always a Bride", 1940
"The Time, the Place and the Girl", 1946
"It's a Great Feeling", 1949
"The Secret of the Mountain", 1934
"Tarzan's New York Adventure", 1942
"Music for Millions", 1944
"Arrow in the Dust", 1954
"Libel", 1959
"The Steel Trap", 1952
"The Power of Film Episode 4: Heroes and Villains", 2023
"The Night of the Hunter", 1955
"The Fool Killer", 1965
"Postmark For Danger", 1955
"Love in the Afternoon", 1957
"A Fever in the Blood", 1961
"Postmark For Danger", 1955
"Mr. Blandings Builds His Dream House", 1948
"Roughly Speaking", 1945
"Kiss Me Kate", 1953
"The Gypsy Moths", 1969
"Alice Doesn't Live Here Anymore", 1974
"Curses!", 1925
"Fool's Luck", 1926
"My Stars", 1926
"Coney Island", 1917
"He Did and He Didn't", 1916
"Madadayo", 1993
"Holiday for Sinners", 1952
