Title, Year
"Badlands", 1973
"Blanche Fury", 1948
"Madeleine", 1950
"Agatha", 1979
"The Mating Season", 1951
"The Cincinnati Kid", 1965
"Gumshoe", 1971
"The Last of Sheila", 1973
"After the Thin Man", 1936
"Midnight Mary", 1933
"Mandalay", 1934
"The Divorcee", 1930
"The Easiest Way", 1931
"The Reckless Hour", 1931
"Beauty for Sale", 1933
"Blondie Johnson", 1933
"Frisco Jenny", 1932
"Red-Headed Woman", 1932
"Baby Face", 1933
"Mirage", 1965
"Arabesque", 1966
"The Man in the Gray Flannel Suit", 1956
"Designing Woman", 1957
"The Snows of Kilimanjaro", 1952
"The Great Sinner", 1949
"Alice in Movieland", 1940
"Batman Takes Over", 1949
"Tarzan Goes to India", 1962
"Rabbit Fire", 1951
"Bully for Bugs", 1953
"Baton Bunny", 1959
"Fashions of 1934", 1934
"The Glass Bottom Boat", 1966
"The Crimson Pirate", 1952
"They Were Expendable", 1945
"To Sir, with Love", 1967
"A Piece of the Action", 1977
"Strangers on a Train", 1951
"Dial M for Murder", 1954
"Wait Until Dark", 1967
"Forbidden Planet", 1956
"Kiss Me Kate", 1953
"Strangers on a Train", 1951
"Humoresque", 1946
"The Nun's Story", 1959
"South Pacific", 1958
"Silkwood", 1983
"Moonstruck", 1987
"The Rag Man", 1925
"Fires on the Plain", 1959
"Pigs and Battleships", 1961
"Devotion", 1946
"The Bachelor and the Bobby-Soxer", 1947
"Two Girls and a Sailor", 1944
"Little Women", 1933
"Double Wedding", 1937
"Meet Me in St. Louis", 1944
"The Makioka Sisters", 1983
"Dead Men Don't Wear Plaid", 1982
"The Jerk", 1979
"Pennies from Heaven", 1981
"Broadway Melody of 1940", 1940
"Gold Diggers of 1935", 1935
"Come to Dinner", 1934
"The Belle of New York", 1952
"Ten Thousand Bedrooms", 1957
"Skirts Ahoy!", 1952
"Duchess of Idaho", 1950
"For the First Time", 1959
"Strictly Dishonorable", 1951
"Small Town Girl", 1953
"Bring Your Smile Along", 1955
"Record of a Tenement Gentleman", 1947
"A Hen in the Wind", 1948
"The Flavor of Green Tea Over Rice", 1952
"Early Spring", 1956
"Tokyo Twilight", 1957
"They Live by Night", 1948
"A Woman's Secret", 1949
"Born to Be Bad", 1950
"Flying Leathernecks", 1951
"On Dangerous Ground", 1952
"Party Girl", 1958
"55 Days at Peking", 1963
"Harlow", 1965
"Frances", 1982
"Gable and Lombard", 1976
"W.C. Fields and Me", 1976
"The Story of Will Rogers", 1952
"One Million B.C.", 1940
"Two Heads on a Pillow", 1934
"Three Came Home", 1950
"The Four Feathers", 1939
"Five and Ten", 1931
"6 Day Bike Rider", 1934
"Seven Brides for Seven Brothers", 1954
"Millionaire Playboy", 1940
"The Bridge on the River Kwai", 1957
"Blazing Saddles", 1974
"No Time for Sergeants", 1958
"The Incredible Mr. Limpet", 1964
"Color Scales", 1932
"Body and Soul", 1925
"Flesh and the Devil", 1926
"The Cat and the Fiddle", 1934
"Arsenic and Old Lace", 1944
"Night and Day", 1946
"Tea and Sympathy", 1956
"The Flame and the Arrow", 1950
"MGM Parade Show #6", 1955
"MacArthur", 1977
"The Guns of Navarone", 1961
"Pork Chop Hill", 1959
"The Purple Plain", 1954
"Days of Glory", 1944
"The Sea Wolves", 1980
"Captain Newman, M.D.", 1963
"The Red Badge of Courage", 1951
"Skirts Ahoy!", 1952
"The Steel Helmet", 1951
"Darby's Rangers", 1958
"Take the High Ground!", 1953
"Wacky Blackout", 1942
"Falling Hare", 1943
"Draftee Daffy", 1945
"Midway", 1976
"Thirty Seconds Over Tokyo", 1944
"The Hook", 1963
"The Hasty Heart", 1950
"Imitation General", 1958
"High Barbaree", 1947
"Till the End of Time", 1946
"Pride of the Marines", 1945
"No Time for Sergeants", 1958
"Ace of Aces", 1933
"The Story of G.I. Joe", 1945
"Bataan", 1943
"The Flying Bear", 1941
"The Rookie Bear", 1941
"Little Johnny Jet", 1953
"The Best Years of Our Lives", 1946
"The Naked and the Dead", 1958
"The Big Parade", 1925
"Westfront 1918", 1930
"The Dirty Dozen", 1967
"Kelly's Heroes", 1970
"Battleground", 1949
"Merrill's Marauders", 1962
"Where Eagles Dare", 1968
"Desperate Journey", 1942
"Rookie Revue", 1941
"Conrad the Sailor", 1942
"The Weakly Reporter", 1944
"The Great Escape", 1963
"Seven Days in May", 1964
"A Walk in the Sun", 1946
"The Wings of Eagles", 1957
"Remember?", 1939
"Madame Curie", 1943
"Adventure", 1945
"Mrs. Miniver", 1942
"The Miniver Story", 1950
"The Law and the Lady", 1951
"Her Twelve Men", 1954
"Floating Weeds", 1959
"Late Autumn", 1960
"An Autumn Afternoon", 1962
"Equinox Flower", 1958
"Good Morning", 1959
"The End of Summer", 1961
"Stingaree", 1934
"The Beggar's Opera", 1953
"The Scarlet Pimpernel", 1934
"The Scarlet Pumpernickel", 1950
"The Three Musketeers", 1948
"The Wicked Lady", 1945
"Buccaneer Bunny", 1948
"Tom Jones", 1963
"Butterflies Are Free", 1972
"The Bad Seed", 1956
"Up the Down Staircase", 1967
"Zandy's Bride", 1974
"Somebody Up There Likes Me", 1956
"Woman of the Year", 1942
"Anna Christie", 1930
"Rose-Marie", 1936
"Maytime", 1937
"Camille", 1937
"The Women", 1939
"The Last of Mrs. Cheyney", 1937
"It Happened One Night", 1934
"From Here to Eternity", 1953
"Rebel Without a Cause", 1955
"The Two Mrs. Carrolls", 1947
"High Sierra", 1941
"Jezebel", 1938
"The Long Night", 1947
"Fort Apache", 1948
"Mister Roberts", 1955
"Spencer's Mountain", 1963
"Sex and the Single Girl", 1964
"The Cheyenne Social Club", 1970
"Cape Fear", 1962
"The Boys from Brazil", 1978
"On the Beach", 1959
"Marooned", 1969
"Moby Dick", 1956
"Captain Horatio Hornblower", 1951
"MGM Parade Show #6", 1955
"Tunnel of Terror", 1949
"Tarzan's Three Challenges", 1963
"Rabbit of Seville", 1950
"Bugsy Malone", 1976
"Cool Hand Luke", 1967
"The Split", 1968
"The Maltese Falcon", 1941
"La Cage Aux Folles", 1979
"Some Like It Hot", 1959
"House of Numbers", 1957
"Monterey Pop", 1969
"Jimi Hendrix", 1973
"Madame Satan", 1930
"Flying Down to Rio", 1933
"House of Numbers", 1957
"Watership Down", 1978
"The Seventh Victim", 1943
"The Breaking Point", 1950
"Detour", 1945
"Get Carter", 1971
"Klute", 1971
"Play Misty for Me", 1971
"Strike", 1925
"The Walls of Malapaga", 1949
"French Cancan", 1955
"Good Morning, Eve!", 1934
