Title, Year
"Five Star Final", 1931
"Crossfire", 1947
"The Music Man", 1962
"Doctor Zhivago", 1965
"The Bridge on the River Kwai", 1957
"The Last Emperor", 1987
"The Lost Weekend", 1945
"I'll Cry Tomorrow", 1955
"Leaving Las Vegas", 1995
"Key Largo", 1948
"Johnny Eager", 1942
"The Divorcee", 1930
"Little Women", 1933
"The Letter", 1940
"Citizen Kane", 1941
"Gone with the Wind", 1939
"An American in Paris", 1951
"My Man Godfrey", 1936
"It Happened One Night", 1934
"The Heiress", 1949
"The Philadelphia Story", 1940
"Dark Victory", 1939
"A Stolen Life", 1946
"Tom Thumb", 1958
"7 Faces of Dr. Lao", 1964
"The Spirit of St. Louis", 1957
"The Time Machine", 1960
"Mighty Joe Young", 1949
"2001: A Space Odyssey", 1968
"The Pride of the Yankees", 1943
"Norma Rae", 1979
"Blossoms in the Dust", 1941
"Sister Kenny", 1946
"The Story of Louis Pasteur", 1936
"Dangerously They Live", 1942
"The Fallen Sparrow", 1943
"Blackwell's Island", 1939
"East of the River", 1940
"Dust Be My Destiny", 1939
"Flowing Gold", 1940
"Castle on the Hudson", 1940
"They Made Me a Criminal", 1939
"The Breaking Point", 1950
"The King and Four Queens", 1956
"The Rare Breed", 1966
"The Train Robbers", 1973
"The Outriders", 1950
"Westward the Women", 1951
"A Shot in the Dark", 1941
"Kongo", 1932
"Freaks", 1932
"Doctor X", 1932
"Mystery of the Wax Museum", 1933
"White Zombie", 1932
"Thirteen Women", 1932
"Svengali", 1931
"Rasputin and the Empress", 1932
"Dr. Jekyll and Mr. Hyde", 1932
"Baby Face", 1933
"Ladies of Leisure", 1930
"The Miracle Woman", 1931
"Forbidden", 1932
"Night Nurse", 1931
"The Purchase Price", 1932
"So Big", 1932
"Illicit", 1931
"Ladies They Talk About", 1933
"Gambling Lady", 1934
"Ever in My Heart", 1933
"The Woman in Red", 1935
"His Brother's Wife", 1936
"Tennessee Champ", 1954
"Flap", 1970
"A Patch of Blue", 1965
"Naked Acts", 1996
"Alma's Rainbow", 1994
"I Am Somebody", 1970
"A Dream Is What You Wake Up From", 1978
"Cleo from 5 to 7", 1962
"The Universe of Jacques Demy", 1995
"All-American Co-Ed", 1941
"Sporting Blood", 1931
"Glory", 1956
"The Story of Seabiscuit", 1949
"International Velvet", 1979
"Pride of the Blue Grass", 1939
"The Rocking Horse Winner", 1949
"Saratoga", 1937
"A Day at the Races", 1937
"North by Northwest", 1959
"Lover Come Back", 1961
"Being There", 1979
"Purple Noon", 1961
"Top Hat", 1935
"Off the Record", 1939
"The Peachy Cobbler", 1950
"Calling All Kids", 1943
"Believe It or Not #12", 1932
"Clipped Wings", 1953
"The Man Without a Face", 1931
"Ghosks is the Bunk", 1939
"Penguin Pool Murder", 1932
"The Big Dog House", 1930
"A Hard Day's Night", 1964
"Kings Row", 1942
"Them!", 1954
"Bullitt", 1968
"Craig's Wife", 1936
"Merrily We Go to Hell", 1932
"Christopher Strong", 1933
"The Velvet Touch", 1948
"The Lady from Shanghai", 1948
"Main Street After Dark", 1944
"In the Cool of the Day", 1963
"The Chapman Report", 1962
"The Velvet Touch", 1948
"Born to Be Bad", 1950
"Where Danger Lives", 1950
"Youngblood Hawke", 1964
"The Opposite Sex", 1956
"The Last of Sheila", 1973
"Evil Under the Sun", 1982
"The Dumb Girl of Portici", 1916
"El verdugo", 1963
"The Wheelchair", 1960
"The Boss Didn't Say Good Morning", 1937
"Employees' Entrance", 1933
"Success at Any Price", 1934
"Female", 1933
"An Hour for Lunch", 1939
"Cash McCall", 1960
"The Power and the Prize", 1956
"Executive Suite", 1954
"Patterns", 1956
"The Apartment", 1960
"The Rat Race", 1960
"The Marrying Kind", 1952
"Born Yesterday", 1950
"Pat and Mike", 1952
"Some Kind of a Nut", 1969
"Three Ages", 1923
"Our Hospitality", 1923
"Sherlock Jr.", 1924
"The Navigator", 1924
"Seven Chances", 1925
"Battling Butler", 1926
"The Great Buster: A Celebration", 2018
"The General", 1927
"Steamboat Bill Jr.", 1928
"The Cameraman", 1928
"In the Heat of the Night", 1967
"In Cold Blood", 1967
"The Getaway", 1972
"The Anderson Tapes", 1971
"The Split", 1968
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"The Lady Vanishes", 1938
"Mr. and Mrs. Smith", 1941
"I Confess", 1953
"The Wrong Man", 1956
"Stage Fright", 1950
"Dial M for Murder", 1954
"The Lady Eve", 1941
"Ball of Fire", 1942
"Remember the Night", 1940
"Meet John Doe", 1941
"The Bride Walks Out", 1936
"Breakfast for Two", 1937
"The Secret Bride", 1935
