Title, Year
"MGM Parade Show #25", 1955
"I Love Melvin", 1953
"Athena", 1954
"The Singing Nun", 1966
"The Catered Affair", 1956
"The Mating Game", 1959
"The Tender Trap", 1955
"Singin' in the Rain", 1952
"It's a Mad, Mad, Mad, Mad World", 1963
"The Producers", 1967
"Monkey Business", 1931
"Bringing Up Baby", 1938
"Sherlock Jr.", 1924
"Bud Abbott and Lou Costello in Hollywood", 1945
"Waterloo Bridge", 1940
"On Borrowed Time", 1939
"The Old Maid", 1939
"In This Our Life", 1942
"Penny Serenade", 1941
"Old Acquaintance", 1943
"A Summer Place", 1959
"Going My Way", 1944
"Black Narcissus", 1947
"The Shoes of the Fisherman", 1968
"One Foot in Heaven", 1941
"Boys Town", 1938
"The Nun's Story", 1959
"Million Dollar Baby", 1941
"Next Time I Marry", 1938
"Le Million", 1931
"Cinderella Jones", 1946
"Hot Millions", 1968
"Gold Diggers of 1937", 1936
"Klute", 1971
"This Land Is Mine", 1943
"Dead End", 1937
"Crime School", 1938
"Hell's Kitchen", 1939
"The Metro-Goldwyn-Mayer Story", 1950
"Snowed Under", 1936
"Road to Paradise", 1930
"The Women in His Life", 1933
"Smarty", 1934
"Fashions of 1934", 1934
"Personal Maid's Secret", 1935
"Vanity Fair", 1932
"We're in the Money", 1935
"The Dragon Murder Case", 1934
"The Case of the Black Cat", 1936
"Tarzan the Ape Man", 1932
"Lost Horizon", 1937
"King Solomon's Mines", 1937
"Gunga Din", 1939
"The Killer Shrews", 1959
"Trader Horn", 1931
"Alice in Movieland", 1940
"Poor Little Me", 1935
"Canoeman's Holiday", 1956
"All Girl Revue", 1940
"Fighting Frontier", 1943
"The Sign in the Sky", 1931
"Shakespearian Spinach", 1933
"Bulldog Drummond Escapes", 1937
"Yours Sincerely", 1933
"Dance, Girl, Dance", 1940
"Invaders from Mars", 1953
"The Time Machine", 1960
"The Great Race", 1965
"Picnic at Hanging Rock", 1975
"The Last Wave", 1977
"The Narrow Margin", 1952
"Clash of the Titans", 1981
"The Betsy", 1978
"Nobody Lives Forever", 1946
"Between Two Worlds", 1944
"The Narrow Margin", 1952
"The Divorce of Lady X", 1938
"The Women", 1939
"Gigi", 1958
"Some Like It Hot", 1959
"The Comic", 1969
"Dead Men Don't Wear Plaid", 1982
"The New Klondike", 1926
"Cleo from 5 to 7", 1962
"Le Bonheur", 1965
"King for a Day", 1934
"Orpheus", 1950
"Poet and Peasant Overture", 1954
"Kismet", 1955
"Cyrano de Bergerac", 1950
"The Barretts of Wimpole Street", 1957
"Gordon Parks: Moments Without Proper Names", 1988
"Three Men on a Horse", 1936
"It's a Wonderful World", 1939
"A Fine Madness", 1966
"Whistling in the Dark", 1941
"Whistling in Dixie", 1942
"Whistling in Brooklyn", 1943
"Maisie Gets Her Man", 1942
"Panama Hattie", 1942
"Having Wonderful Time", 1938
"The People vs. Dr. Kildare", 1941
"Dr. Kildare's Wedding Day", 1941
"The Seventh Victim", 1943
"Cat People", 1942
"Isle of the Dead", 1945
"The Curse of the Cat People", 1944
"The Body Snatcher", 1945
"I Walked with a Zombie", 1943
"King Kong", 1933
"The Ghost Ship", 1943
"The Killing", 1956
"Tension", 1949
"Johnny O'Clock", 1947
"They Won't Believe Me", 1947
"The Outfit", 1973
"MGM 40th Anniversary", 1964
"Adventure", 1945
"Madame Curie", 1943
"Random Harvest", 1942
"Mrs. Parkington", 1944
"Mrs. Miniver", 1942
"Pride and Prejudice", 1940
"Yentl", 1983
"Fiddler on the Roof", 1971
"The Chosen", 1981
"The Dybbuk", 1937
"The Rainmakers", 1935
"Soldier in the Rain", 1963
"April Showers", 1948
"Singin' in the Rain", 1952
"The Gentle Rain", 1965
"Miracle in the Rain", 1956
"The Rain People", 1969
"Ma and Pa Kettle", 1949
"The Women", 1939
"Mrs. O'Malley and Mr. Malone", 1950
"Barnacle Bill", 1941
"Meet Me in St. Louis", 1944
"MGM Parade Show #25", 1955
"The Kennel Murder Case", 1933
"The Half Naked Truth", 1933
"Fog Over Frisco", 1934
"The Firebird", 1934
"I'm Still Alive", 1940
"Call It a Day", 1937
"Bringing Up Baby", 1938
"The Thin Man", 1934
"After the Thin Man", 1936
"The Maltese Falcon", 1941
"Murder, My Sweet", 1944
"My Gun Is Quick", 1957
"The Postman Always Rings Twice", 1946
"Harper", 1966
"The Getaway", 1972
"Red Hot Riding Hood", 1943
"Fightin' Fools", 1941
"The Hard Guy", 1930
"Thundering Hoofs", 1941
"The Vulture's Lair", 1931
"Females Is Fickle", 1940
"Bulldog Drummond at Bay", 1937
"Ups and Downs", 1937
"The Unsinkable Molly Brown", 1964
"East of Eden", 1955
"Wichita", 1955
"12 Angry Men", 1957
"God's Little Acre", 1958
"Claudelle Inglish", 1961
"The Steel Trap", 1952
"Inherit the Wind", 1960
"The Defiant Ones", 1958
"Baby Doll", 1956
"Reflections in a Golden Eye", 1967
"The Steel Trap", 1952
"The Valley of Decision", 1945
"This Happy Breed", 1944
"Sunday in New York", 1963
"Born Yesterday", 1950
"On the Waterfront", 1954
"In the Heat of the Night", 1967
"Die Austernprinzessin", 1919
"Some of the Best", 1944
"The Children Are Watching Us", 1944
"The Bicycle Thief", 1948
"The Sandpiper", 1965
"The Woman on the Beach", 1947
"A Summer Place", 1959
"The Girl from Jones Beach", 1949
"Catalina Caper", 1967
"Don't Make Waves", 1967
"Girl Happy", 1965
"Where the Boys Are", 1960
"Ship Ahoy", 1942
"I Dood It", 1943
"Du Barry Was a Lady", 1943
"Merton of the Movies", 1947
"Lady Be Good", 1941
"Flight Command", 1940
"Ziegfeld Follies", 1946
"The Automat", 2021
"The Secret Six", 1931
"Special Agent", 1935
"Alcatraz Island", 1937
"The Last Gangster", 1937
"The Man Who Talked Too Much", 1940
"Out of the Past", 1947
"Coal Miner's Daughter", 1980
"Road to Nashville", 1967
"Five Minutes to Live", 1961
"Badlands", 1973
"Rage", 1972
"Soft Drinks and Sweet Music", 1934
"Lady L", 1965
"Hot Millions", 1968
"The Sundowners", 1960
"Quo Vadis", 1951
"Beau Brummell", 1954
"Billy Budd", 1962
"The Greatest Story Ever Told", 1965
"Jesus Christ Superstar", 1973
"King of Kings", 1961
"The Gospel According to St. Matthew", 1964
"The Life and Passion of Christ", 1907
"The Metro-Goldwyn-Mayer Story", 1950
"Invisible Stripes", 1940
"Toward the Unknown", 1956
"Escape from Fort Bravo", 1953
"Force of Arms", 1951
"Our Town", 1940
"Executive Suite", 1954
"Merchant Ivory", 2024
"A Room with a View", 1985
"Roseland", 1977
"Slaves of New York", 1989
"The Wild Party", 1975
"Things to Come", 1936
"Murder on Diamond Row", 1937
"Vacation from Marriage", 1945
"The Seventh Veil", 1945
"The Passionate Friends", 1949
"Madeleine", 1950
"Time Without Pity", 1957
"Arsene Lupin", 1932
"The Saint in New York", 1938
"The Bat", 1959
"The Case of the Howling Dog", 1934
"The Testament of Dr. Mabuse", 1933
"Judex", 1963
"Arsene Lupin Returns", 1938
"Scat Cats", 1957
"The Giant of Norway", 1939
"Mental Poise", 1938
"Storm Over Wyoming", 1950
"The Radio Patrol", 1931
"Stealin Aint Honest", 1940
"Bulldog Drummond Comes Back", 1937
"Easy Life", 1944
"Lovely to Look At", 1952
"The Prize", 1963
"24 Hours to Kill", 1965
"Gun Crazy", 1950
"The Adventures of Robin Hood", 1938
"Robin And Marian", 1976
"The Set-Up", 1949
"The Mackintosh Man", 1973
"The Wrong Man", 1956
"Ben-Hur", 1959
"The Set-Up", 1949
"The Silver Chalice", 1954
"Barabbas", 1962
"King of Kings", 1961
"Easter Parade", 1948
"Harvey", 1950
"Ben-Hur: A Tale of the Christ", 1925
"Late Spring", 1949
"Early Summer", 1951
"Obsession", 1949
"The Postman Always Rings Twice", 1946
"The Honeymoon Killers", 1969
"Seance on a Wet Afternoon", 1964
"Night Watch", 1973
"Deathtrap", 1982
"Badlands", 1973
"Bathing Beauty", 1944
"Neptune's Daughter", 1949
"Texas Carnival", 1951
"Three Little Words", 1950
"A Southern Yankee", 1948
"Watch the Birdie", 1951
"Miss Pinkerton", 1932
"Blondie Johnson", 1933
"Footlight Parade", 1933
"Three on a Match", 1932
"Lawyer Man", 1933
"The King and the Chorus Girl", 1937
"Gold Diggers of 1933", 1933
"Dames", 1934
"Cabin in the Sky", 1943
"Festival", 1967
"Dean Martin: King of Cool", 2021
"Missing", 1982
"The Year of Living Dangerously", 1982
"Rebel Without a Cause", 1955
"The Strip", 1951
"Don't Make Waves", 1967
"The Exiles", 1961
"The Big Sleep", 1946
"A Bucket of Blood", 1959
"Meshes of the Afternoon", 1944
"The Bad and the Beautiful", 1952
"The Late Show", 1977
"The Clay Bird", 2002
"The Burmese Harp", 1956
"Devi", 1960
"The River", 1951
"The Rules of the Game", 1939
"The Yellow Rolls-Royce", 1964
"Around the World in 80 Days", 1956
"The Sheepman", 1958
"Some Came Running", 1958
"Being There", 1979
"Two Loves", 1961
"The Remains of the Day", 1993
"Howards End", 1992
"The White Countess", 2005
"Merchant Ivory", 2024
"MGM Parade Show #25", 1955
"On an Island with You", 1948
"Isle of Fury", 1936
"Gulliver's Travels", 1939
"Sinbad the Sailor", 1947
"The Most Dangerous Game", 1932
"Lord of the Flies", 1963
"Treasure Island", 1934
"Robinson Crusoe", 1954
"The Thing from Another World", 1951
"The Land That Time Forgot", 1974
"Doc Savage: The Man of Bronze", 1975
"Red Sonja", 1985
"She", 1965
"Time After Time", 1979
"Los Angeles "Wonder City of the West"", 1935
"Señor Droopy", 1949
"Forgotten Treasure", 1943
"Artie Shaw and His Orchestra", 1938
"Cyclone on Horseback", 1941
"The Ghost Comes Back", 1931
"Me Feelins Is Hurt", 1940
"Bulldog Drummond's Revenge", 1937
"King of the Islands", 1935
"The Boy Friend", 1971
"The Great American Pastime", 1956
"The Asphalt Jungle", 1950
"The Omega Man", 1971
"Harper", 1966
"The Drowning Pool", 1975
"The Prowler", 1951
"Three the Hard Way", 1974
"Black Belt Jones", 1974
"Splendor in the Grass", 1961
"Angel Baby", 1961
"The Prowler", 1951
"All This, and Heaven Too", 1940
"The Mad Miss Manton", 1938
"Mame", 1974
"Travels with My Aunt", 1972
"Film Geek", 2023
"The Purple Rose of Cairo", 1985
"Dogs of War!", 1923
"The Temptress", 1926
"Children of Paradise", 1945
"The Strange Love of Molly Louvain", 1932
"A Free Soul", 1931
"Calling Dr. Gillespie", 1942
"A Family Affair", 1936
"Captains Courageous", 1937
"The Devil-Doll", 1936
"The Mysterious Island", 1929
"Mata Hari", 1931
"On Borrowed Time", 1939
"The Fuller Brush Man", 1948
"The Yellow Cab Man", 1950
"Excuse My Dust", 1951
"Lovely to Look At", 1952
"The Clown", 1953
"Half a Hero", 1953
"The Great Diamond Robbery", 1953
"The Runaway Bus", 1954
"Looking at London", 1946
"A Warm December", 1972
"The Prince and the Showgirl", 1957
"Sweeney Todd: Demon Barber of Fleet Street", 1982
"The V.I.P.s", 1963
"Mrs. Brown, You've Got a Lovely Daughter", 1968
"Hoosiers", 1986
"Bang the Drum Slowly", 1973
"A Shining Season", 1979
"Knute Rockne--All American", 1940
"The Winning Team", 1952
"Millie", 1931
"Count the Hours!", 1953
"Fury", 1936
"Madeleine", 1950
"The Last Wave", 1977
"Twilight of Honor", 1963
"I Confess", 1953
"Beyond a Reasonable Doubt", 1956
"The Song of Bernadette", 1945
"A Man for All Seasons", 1966
"Luther", 1974
"The Passion of Joan of Arc", 1927
"The Flowers of St. Francis", 1950
